date,open,high,low,close,volume
2025-04-01,15.359999656677246,15.359999656677246,14.440999984741211,15.09000015258789,2814400
2025-04-02,14.569999694824219,16.43000030517578,14.569999694824219,15.960000038146973,3221200
2025-04-03,14.84000015258789,14.869999885559082,12.654999732971191,12.829999923706055,6048000
2025-04-04,12.010000228881836,12.399999618530273,10.229999542236328,10.800000190734863,6541600
2025-04-07,10.09000015258789,12.989999771118164,9.944999694824219,11.229999542236328,6701700
2025-04-08,12.0649995803833,13.069999694824219,10.399999618530273,10.699999809265137,6352000
2025-04-09,10.680000305175781,14.505000114440918,10.350000381469727,13.869999885559082,7021400
2025-04-10,13.130000114440918,13.446999549865723,11.539999961853027,11.720000267028809,4232600
2025-04-11,11.569999694824219,11.670000076293945,10.630000114440918,11.279999732971191,2817100
2025-04-14,12.020000457763672,12.449999809265137,10.835000038146973,11.25,3357000
2025-04-15,11.350000381469727,11.767000198364258,11.25,11.449999809265137,2305000
2025-04-16,10.819999694824219,11.029999732971191,10.039999961853027,10.430000305175781,3254800
2025-04-17,10.4399995803833,10.710000038146973,10.279999732971191,10.65999984741211,2060700
2025-04-21,10.350000381469727,10.355999946594238,9.711000442504883,10.050000190734863,2346400
2025-04-22,10.210000038146973,11.0600004196167,10.180000305175781,10.949999809265137,2736000
2025-04-23,11.954999923706055,12.972000122070312,11.614999771118164,11.65999984741211,4696300
2025-04-24,11.6899995803833,13.109999656677246,11.53499984741211,12.789999961853027,3134200
2025-04-25,12.619999885559082,13.057999610900879,12.350000381469727,12.5600004196167,1857700
2025-04-28,12.800000190734863,13.539999961853027,12.510000228881836,13.069999694824219,3003100
2025-04-29,12.819999694824219,13.100000381469727,12.569999694824219,12.819999694824219,1823400
2025-04-30,12.0600004196167,12.819999694824219,11.864999771118164,12.789999961853027,1968200
2025-05-01,13.390000343322754,14.96500015258789,13.390000343322754,14.710000038146973,5076200
2025-05-02,15.25,15.430000305175781,14.279999732971191,14.960000038146973,4196300
2025-05-05,14.510000228881836,14.937999725341797,14.34000015258789,14.4399995803833,1966500
2025-05-06,13.800000190734863,14.25,13.40999984741211,13.9399995803833,2544600
2025-05-07,13.864999771118164,14.015000343322754,13.3100004196167,13.979999542236328,2027600
2025-05-08,15.329999923706055,15.399999618530273,13.90999984741211,14.760000228881836,4567300
2025-05-09,13.670000076293945,15.234999656677246,12.557000160217285,14.670000076293945,7922800
2025-05-12,16.239999771118164,18.670000076293945,15.760000228881836,18.239999771118164,7280000
2025-05-13,18.283000946044922,21.15999984741211,17.850000381469727,20.290000915527344,6945600
2025-05-14,20.479999542236328,20.6200008392334,18.523000717163086,19.110000610351562,5753900
2025-05-15,18.940000534057617,19.506000518798828,17.399999618530273,18.8700008392334,5189600
2025-05-16,19.190000534057617,19.850000381469727,18.549999237060547,18.690000534057617,3100300
2025-05-19,18.125,19.059999465942383,17.83099937438965,19.040000915527344,2548700
2025-05-20,18.809999465942383,18.989999771118164,18.479999542236328,18.959999084472656,2077700
2025-05-21,18.489999771118164,19.218000411987305,16.799999237060547,17.06999969482422,3621900
2025-05-22,17.079999923706055,18.09000015258789,17.079999923706055,17.610000610351562,1972600
2025-05-23,16.799999237060547,18.038999557495117,16.75,17.8799991607666,2237500
2025-05-27,18.5,19.198999404907227,17.889999389648438,18.559999465942383,2739300
2025-05-28,18.670000076293945,18.959999084472656,17.565000534057617,17.649999618530273,2913800
2025-05-29,18.239999771118164,18.290000915527344,16.530000686645508,16.93000030517578,2613000
2025-05-30,16.559999465942383,16.700000762939453,15.0600004196167,15.420000076293945,5025600
2025-06-02,15.3100004196167,15.770000457763672,15.0600004196167,15.515000343322754,1896400
2025-06-03,15.899999618530273,17.209999084472656,15.470000267028809,16.760000228881836,3519200
2025-06-04,17.43000030517578,17.61400032043457,16.530000686645508,17.110000610351562,2137100
2025-06-05,17.239999771118164,17.434999465942383,16.0,16.260000228881836,3057400
2025-06-06,16.565000534057617,17.450000762939453,16.260000228881836,16.829999923706055,2508100
2025-06-09,17.25,17.25,16.600000381469727,16.8700008392334,2281800
2025-06-10,16.920000076293945,17.25,16.049999237060547,16.440000534057617,2797100
2025-06-11,16.84000015258789,17.5,16.240999221801758,16.31999969482422,3877500
2025-06-12,17.649999618530273,19.760000228881836,16.670000076293945,16.920000076293945,18448700
2025-06-13,16.520000457763672,16.700000762939453,15.289999961853027,15.470000267028809,4967100
2025-06-16,15.970000267028809,18.14900016784668,15.895000457763672,17.09000015258789,5576800
2025-06-17,17.075000762939453,17.579999923706055,16.55299949645996,16.780000686645508,4194800
2025-06-18,17.094999313354492,20.0,16.899999618530273,19.770000457763672,10371100
